Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	dN with Chicken	dS with Chicken
ENSTGUG00000013627	ENSTGUG00000013627.2	ENSTGUT00000034504	ENSTGUT00000034504.1	0.0572	0.3849
ENSTGUG00000013627	ENSTGUG00000013627.2	ENSTGUT00000014191	ENSTGUT00000014191.2	0.0572	0.3849
ENSTGUG00000013627	ENSTGUG00000013627.2	ENSTGUT00000014193	ENSTGUT00000014193.2	0.0572	0.3849
ENSTGUG00000013627	ENSTGUG00000013627.2	ENSTGUT00000014190	ENSTGUT00000014190.2	0.0572	0.3849
ENSTGUG00000021786	ENSTGUG00000021786.1	ENSTGUT00000028229	ENSTGUT00000028229.1		
ENSTGUG00000023042	ENSTGUG00000023042.1	ENSTGUT00000033764	ENSTGUT00000033764.1		
ENSTGUG00000013625	ENSTGUG00000013625.2	ENSTGUT00000014189	ENSTGUT00000014189.2	0.1591	0.4691
ENSTGUG00000013624	ENSTGUG00000013624.2	ENSTGUT00000024668	ENSTGUT00000024668.1	0.1745	0.4259
ENSTGUG00000013624	ENSTGUG00000013624.2	ENSTGUT00000014188	ENSTGUT00000014188.2	0.1745	0.4259
ENSTGUG00000013624	ENSTGUG00000013624.2	ENSTGUT00000044191	ENSTGUT00000044191.1	0.1745	0.4259
ENSTGUG00000022047	ENSTGUG00000022047.1	ENSTGUT00000035348	ENSTGUT00000035348.1	0.2248	0.5577
ENSTGUG00000013623	ENSTGUG00000013623.2	ENSTGUT00000014187	ENSTGUT00000014187.2	0.1507	0.408
ENSTGUG00000021229	ENSTGUG00000021229.1	ENSTGUT00000020592	ENSTGUT00000020592.1	0.0152	0.4163
ENSTGUG00000013621	ENSTGUG00000013621.2	ENSTGUT00000014185	ENSTGUT00000014185.2	0.1189	0.5107
ENSTGUG00000021239	ENSTGUG00000021239.1	ENSTGUT00000022097	ENSTGUT00000022097.1	0.0184	0.2098
ENSTGUG00000013619	ENSTGUG00000013619.2	ENSTGUT00000014183	ENSTGUT00000014183.2	0.0287	0.9601
ENSTGUG00000023416	ENSTGUG00000023416.1	ENSTGUT00000037227	ENSTGUT00000037227.1	0.0061	0.4628
ENSTGUG00000013616	ENSTGUG00000013616.2	ENSTGUT00000014181	ENSTGUT00000014181.2	0.2581	0.4252
ENSTGUG00000013616	ENSTGUG00000013616.2	ENSTGUT00000035558	ENSTGUT00000035558.1	0.2581	0.4252
ENSTGUG00000013616	ENSTGUG00000013616.2	ENSTGUT00000027473	ENSTGUT00000027473.1	0.2581	0.4252
ENSTGUG00000013616	ENSTGUG00000013616.2	ENSTGUT00000014180	ENSTGUT00000014180.2	0.2581	0.4252
ENSTGUG00000013615	ENSTGUG00000013615.2	ENSTGUT00000014179	ENSTGUT00000014179.2	0.0751	0.71
ENSTGUG00000013615	ENSTGUG00000013615.2	ENSTGUT00000036180	ENSTGUT00000036180.1	0.0751	0.71
ENSTGUG00000013614	ENSTGUG00000013614.2	ENSTGUT00000023923	ENSTGUT00000023923.1	0.0268	0.3405
ENSTGUG00000013614	ENSTGUG00000013614.2	ENSTGUT00000014178	ENSTGUT00000014178.2	0.0268	0.3405
ENSTGUG00000013614	ENSTGUG00000013614.2	ENSTGUT00000014177	ENSTGUT00000014177.2	0.0268	0.3405
ENSTGUG00000013614	ENSTGUG00000013614.2	ENSTGUT00000042575	ENSTGUT00000042575.1	0.0268	0.3405
ENSTGUG00000013613	ENSTGUG00000013613.2	ENSTGUT00000020175	ENSTGUT00000020175.1	0.0623	0.2861
ENSTGUG00000013613	ENSTGUG00000013613.2	ENSTGUT00000014176	ENSTGUT00000014176.2	0.0623	0.2861
ENSTGUG00000013613	ENSTGUG00000013613.2	ENSTGUT00000042023	ENSTGUT00000042023.1	0.0623	0.2861
ENSTGUG00000013613	ENSTGUG00000013613.2	ENSTGUT00000026486	ENSTGUT00000026486.1	0.0623	0.2861
ENSTGUG00000013612	ENSTGUG00000013612.2	ENSTGUT00000014175	ENSTGUT00000014175.2	0.0506	0.4032
ENSTGUG00000013612	ENSTGUG00000013612.2	ENSTGUT00000041547	ENSTGUT00000041547.1	0.0506	0.4032
ENSTGUG00000013612	ENSTGUG00000013612.2	ENSTGUT00000022664	ENSTGUT00000022664.1	0.0506	0.4032
ENSTGUG00000013612	ENSTGUG00000013612.2	ENSTGUT00000037907	ENSTGUT00000037907.1	0.0506	0.4032
ENSTGUG00000029124	ENSTGUG00000029124.1	ENSTGUT00000021944	ENSTGUT00000021944.1		
ENSTGUG00000013611	ENSTGUG00000013611.2	ENSTGUT00000014174	ENSTGUT00000014174.2	0.0665	0.3085
ENSTGUG00000013611	ENSTGUG00000013611.2	ENSTGUT00000043903	ENSTGUT00000043903.1	0.0665	0.3085
ENSTGUG00000013611	ENSTGUG00000013611.2	ENSTGUT00000025798	ENSTGUT00000025798.1	0.0665	0.3085
ENSTGUG00000024693	ENSTGUG00000024693.1	ENSTGUT00000035047	ENSTGUT00000035047.1		
ENSTGUG00000024693	ENSTGUG00000024693.1	ENSTGUT00000031024	ENSTGUT00000031024.1		
ENSTGUG00000024693	ENSTGUG00000024693.1	ENSTGUT00000020266	ENSTGUT00000020266.1		
ENSTGUG00000024693	ENSTGUG00000024693.1	ENSTGUT00000035344	ENSTGUT00000035344.1		
ENSTGUG00000018994	ENSTGUG00000018994.1	ENSTGUT00000044723	ENSTGUT00000044723.1		
ENSTGUG00000013609	ENSTGUG00000013609.2	ENSTGUT00000020702	ENSTGUT00000020702.1	0.1588	0.6722
ENSTGUG00000013609	ENSTGUG00000013609.2	ENSTGUT00000019911	ENSTGUT00000019911.1	0.1588	0.6722
ENSTGUG00000013609	ENSTGUG00000013609.2	ENSTGUT00000023561	ENSTGUT00000023561.1	0.1588	0.6722
ENSTGUG00000013609	ENSTGUG00000013609.2	ENSTGUT00000014861	ENSTGUT00000014861.2	0.1588	0.6722
ENSTGUG00000013609	ENSTGUG00000013609.2	ENSTGUT00000014173	ENSTGUT00000014173.2	0.1588	0.6722
ENSTGUG00000013609	ENSTGUG00000013609.2	ENSTGUT00000015977	ENSTGUT00000015977.2	0.1588	0.6722
ENSTGUG00000013609	ENSTGUG00000013609.2	ENSTGUT00000033041	ENSTGUT00000033041.1	0.1588	0.6722
ENSTGUG00000013609	ENSTGUG00000013609.2	ENSTGUT00000014172	ENSTGUT00000014172.2	0.1588	0.6722
ENSTGUG00000013609	ENSTGUG00000013609.2	ENSTGUT00000037790	ENSTGUT00000037790.1	0.1588	0.6722
ENSTGUG00000013609	ENSTGUG00000013609.2	ENSTGUT00000040651	ENSTGUT00000040651.1	0.1588	0.6722
ENSTGUG00000013608	ENSTGUG00000013608.2	ENSTGUT00000014171	ENSTGUT00000014171.2	0.3417	0.4973
ENSTGUG00000013608	ENSTGUG00000013608.2	ENSTGUT00000025435	ENSTGUT00000025435.1	0.3417	0.4973
ENSTGUG00000013607	ENSTGUG00000013607.2	ENSTGUT00000022920	ENSTGUT00000022920.1	0.0129	0.3917
ENSTGUG00000013607	ENSTGUG00000013607.2	ENSTGUT00000014170	ENSTGUT00000014170.2	0.0129	0.3917
ENSTGUG00000025346	ENSTGUG00000025346.1	ENSTGUT00000028125	ENSTGUT00000028125.1		
ENSTGUG00000013606	ENSTGUG00000013606.2	ENSTGUT00000014169	ENSTGUT00000014169.2	0.1042	0.3821
ENSTGUG00000013605	ENSTGUG00000013605.2	ENSTGUT00000014168	ENSTGUT00000014168.2	0.1652	0.4235
ENSTGUG00000013603	ENSTGUG00000013603.2	ENSTGUT00000014166	ENSTGUT00000014166.2	0.1448	0.3095
ENSTGUG00000013602	ENSTGUG00000013602.2	ENSTGUT00000014164	ENSTGUT00000014164.2	0.4432	0.7198
ENSTGUG00000013602	ENSTGUG00000013602.2	ENSTGUT00000014165	ENSTGUT00000014165.2	0.4432	0.7198
ENSTGUG00000013601	ENSTGUG00000013601.2	ENSTGUT00000032982	ENSTGUT00000032982.1	0.1007	0.4686
ENSTGUG00000013601	ENSTGUG00000013601.2	ENSTGUT00000014163	ENSTGUT00000014163.2	0.1007	0.4686
ENSTGUG00000026095	ENSTGUG00000026095.1	ENSTGUT00000027876	ENSTGUT00000027876.1		
ENSTGUG00000026095	ENSTGUG00000026095.1	ENSTGUT00000037258	ENSTGUT00000037258.1		
ENSTGUG00000026095	ENSTGUG00000026095.1	ENSTGUT00000043406	ENSTGUT00000043406.1		
ENSTGUG00000026095	ENSTGUG00000026095.1	ENSTGUT00000042585	ENSTGUT00000042585.1		
ENSTGUG00000026095	ENSTGUG00000026095.1	ENSTGUT00000024835	ENSTGUT00000024835.1		
ENSTGUG00000013600	ENSTGUG00000013600.2	ENSTGUT00000014162	ENSTGUT00000014162.2	0.097	0.238
ENSTGUG00000013600	ENSTGUG00000013600.2	ENSTGUT00000036760	ENSTGUT00000036760.1	0.097	0.238
ENSTGUG00000013600	ENSTGUG00000013600.2	ENSTGUT00000037916	ENSTGUT00000037916.1	0.097	0.238
ENSTGUG00000013600	ENSTGUG00000013600.2	ENSTGUT00000042318	ENSTGUT00000042318.1	0.097	0.238
ENSTGUG00000013599	ENSTGUG00000013599.2	ENSTGUT00000014161	ENSTGUT00000014161.2		
ENSTGUG00000022163	ENSTGUG00000022163.1	ENSTGUT00000030578	ENSTGUT00000030578.1	0.0469	0.5281
ENSTGUG00000022487	ENSTGUG00000022487.1	ENSTGUT00000019871	ENSTGUT00000019871.1		
ENSTGUG00000013596	ENSTGUG00000013596.2	ENSTGUT00000014158	ENSTGUT00000014158.2	0.0348	0.396
ENSTGUG00000013596	ENSTGUG00000013596.2	ENSTGUT00000037862	ENSTGUT00000037862.1	0.0348	0.396
ENSTGUG00000013595	ENSTGUG00000013595.2	ENSTGUT00000014157	ENSTGUT00000014157.2	0.1075	0.422
ENSTGUG00000013594	ENSTGUG00000013594.2	ENSTGUT00000036763	ENSTGUT00000036763.1	0.1565	0.5465
ENSTGUG00000013594	ENSTGUG00000013594.2	ENSTGUT00000014156	ENSTGUT00000014156.2	0.1565	0.5465
ENSTGUG00000013594	ENSTGUG00000013594.2	ENSTGUT00000041672	ENSTGUT00000041672.1	0.1565	0.5465
ENSTGUG00000013593	ENSTGUG00000013593.2	ENSTGUT00000041366	ENSTGUT00000041366.1	0.0697	0.4083
ENSTGUG00000013593	ENSTGUG00000013593.2	ENSTGUT00000014155	ENSTGUT00000014155.2	0.0697	0.4083
ENSTGUG00000023806	ENSTGUG00000023806.1	ENSTGUT00000042849	ENSTGUT00000042849.1		
ENSTGUG00000028296	ENSTGUG00000028296.1	ENSTGUT00000032124	ENSTGUT00000032124.1		
ENSTGUG00000015165	ENSTGUG00000015165.2	ENSTGUT00000015769	ENSTGUT00000015769.2		
ENSTGUG00000013592	ENSTGUG00000013592.2	ENSTGUT00000014154	ENSTGUT00000014154.2	0.2086	0.5042
ENSTGUG00000028077	ENSTGUG00000028077.1	ENSTGUT00000040716	ENSTGUT00000040716.1	0.148	0.5247
ENSTGUG00000028077	ENSTGUG00000028077.1	ENSTGUT00000024906	ENSTGUT00000024906.1	0.148	0.5247
ENSTGUG00000015867	ENSTGUG00000015867.2	ENSTGUT00000016493	ENSTGUT00000016493.2	0.4479	0.8724
ENSTGUG00000013591	ENSTGUG00000013591.2	ENSTGUT00000014153	ENSTGUT00000014153.2	0.3147	0.5794
ENSTGUG00000013591	ENSTGUG00000013591.2	ENSTGUT00000022460	ENSTGUT00000022460.1	0.3147	0.5794
ENSTGUG00000027884	ENSTGUG00000027884.1	ENSTGUT00000036734	ENSTGUT00000036734.1		
ENSTGUG00000013590	ENSTGUG00000013590.2	ENSTGUT00000014152	ENSTGUT00000014152.2	0.0707	0.3402
ENSTGUG00000013589	ENSTGUG00000013589.2	ENSTGUT00000014151	ENSTGUT00000014151.2	0.0833	0.5168
ENSTGUG00000013588	ENSTGUG00000013588.2	ENSTGUT00000022901	ENSTGUT00000022901.1	0.1406	0.4263
ENSTGUG00000013588	ENSTGUG00000013588.2	ENSTGUT00000014150	ENSTGUT00000014150.2	0.1406	0.4263
ENSTGUG00000013587	ENSTGUG00000013587.2	ENSTGUT00000014149	ENSTGUT00000014149.2	0.0148	0.3777
ENSTGUG00000013587	ENSTGUG00000013587.2	ENSTGUT00000016776	ENSTGUT00000016776.2	0.0148	0.3777
ENSTGUG00000013587	ENSTGUG00000013587.2	ENSTGUT00000016770	ENSTGUT00000016770.2	0.0148	0.3777
ENSTGUG00000013586	ENSTGUG00000013586.2	ENSTGUT00000014148	ENSTGUT00000014148.2	0.0239	0.2445
ENSTGUG00000013585	ENSTGUG00000013585.2	ENSTGUT00000014147	ENSTGUT00000014147.2	0.1045	0.4517
ENSTGUG00000013579	ENSTGUG00000013579.2	ENSTGUT00000014140	ENSTGUT00000014140.2	0.0413	0.3157
ENSTGUG00000013584	ENSTGUG00000013584.2	ENSTGUT00000033736	ENSTGUT00000033736.1	0.1621	1.2781
ENSTGUG00000013584	ENSTGUG00000013584.2	ENSTGUT00000014146	ENSTGUT00000014146.2	0.1621	1.2781
ENSTGUG00000013584	ENSTGUG00000013584.2	ENSTGUT00000035694	ENSTGUT00000035694.1	0.1621	1.2781
ENSTGUG00000013584	ENSTGUG00000013584.2	ENSTGUT00000020031	ENSTGUT00000020031.1	0.1621	1.2781
ENSTGUG00000019101	ENSTGUG00000019101.1	ENSTGUT00000030762	ENSTGUT00000030762.1		
ENSTGUG00000025341	ENSTGUG00000025341.1	ENSTGUT00000028266	ENSTGUT00000028266.1	0.1986	2.8513
ENSTGUG00000025341	ENSTGUG00000025341.1	ENSTGUT00000042640	ENSTGUT00000042640.1	0.1986	2.8513
ENSTGUG00000013581	ENSTGUG00000013581.2	ENSTGUT00000014142	ENSTGUT00000014142.2	0.2601	1.0814
ENSTGUG00000013581	ENSTGUG00000013581.2	ENSTGUT00000025086	ENSTGUT00000025086.1	0.2601	1.0814
ENSTGUG00000019290	ENSTGUG00000019290.1	ENSTGUT00000043014	ENSTGUT00000043014.1	0.1128	1.7958
ENSTGUG00000018949	ENSTGUG00000018949.1	ENSTGUT00000040354	ENSTGUT00000040354.1	0.003	1.8469
ENSTGUG00000013578	ENSTGUG00000013578.2	ENSTGUT00000014139	ENSTGUT00000014139.2		
ENSTGUG00000021546	ENSTGUG00000021546.1	ENSTGUT00000035499	ENSTGUT00000035499.1		
ENSTGUG00000021546	ENSTGUG00000021546.1	ENSTGUT00000026587	ENSTGUT00000026587.1		
ENSTGUG00000027907	ENSTGUG00000027907.1	ENSTGUT00000037529	ENSTGUT00000037529.1		
ENSTGUG00000027907	ENSTGUG00000027907.1	ENSTGUT00000024900	ENSTGUT00000024900.1		
ENSTGUG00000027907	ENSTGUG00000027907.1	ENSTGUT00000039649	ENSTGUT00000039649.1		
ENSTGUG00000013575	ENSTGUG00000013575.2	ENSTGUT00000014136	ENSTGUT00000014136.2		
ENSTGUG00000013575	ENSTGUG00000013575.2	ENSTGUT00000040249	ENSTGUT00000040249.1		
ENSTGUG00000013575	ENSTGUG00000013575.2	ENSTGUT00000032647	ENSTGUT00000032647.1		
ENSTGUG00000013575	ENSTGUG00000013575.2	ENSTGUT00000045146	ENSTGUT00000045146.1		
ENSTGUG00000024380	ENSTGUG00000024380.1	ENSTGUT00000037321	ENSTGUT00000037321.1		
ENSTGUG00000024380	ENSTGUG00000024380.1	ENSTGUT00000019984	ENSTGUT00000019984.1		
ENSTGUG00000013572	ENSTGUG00000013572.2	ENSTGUT00000045883	ENSTGUT00000045883.1	0.8514	68.0982
ENSTGUG00000013572	ENSTGUG00000013572.2	ENSTGUT00000033962	ENSTGUT00000033962.1	0.8514	68.0982
ENSTGUG00000013572	ENSTGUG00000013572.2	ENSTGUT00000039651	ENSTGUT00000039651.1	0.8514	68.0982
ENSTGUG00000013572	ENSTGUG00000013572.2	ENSTGUT00000014133	ENSTGUT00000014133.2	0.8514	68.0982
ENSTGUG00000013572	ENSTGUG00000013572.2	ENSTGUT00000025205	ENSTGUT00000025205.1	0.8514	68.0982
ENSTGUG00000013571	ENSTGUG00000013571.2	ENSTGUT00000033461	ENSTGUT00000033461.1		
ENSTGUG00000013571	ENSTGUG00000013571.2	ENSTGUT00000022470	ENSTGUT00000022470.1		
ENSTGUG00000013571	ENSTGUG00000013571.2	ENSTGUT00000028609	ENSTGUT00000028609.1		
ENSTGUG00000013571	ENSTGUG00000013571.2	ENSTGUT00000014132	ENSTGUT00000014132.2		
ENSTGUG00000017903	ENSTGUG00000017903.2	ENSTGUT00000018590	ENSTGUT00000018590.2		
ENSTGUG00000013570	ENSTGUG00000013570.2	ENSTGUT00000014131	ENSTGUT00000014131.2		
ENSTGUG00000013569	ENSTGUG00000013569.2	ENSTGUT00000014130	ENSTGUT00000014130.2		
ENSTGUG00000013569	ENSTGUG00000013569.2	ENSTGUT00000014129	ENSTGUT00000014129.2		
ENSTGUG00000013568	ENSTGUG00000013568.2	ENSTGUT00000014128	ENSTGUT00000014128.2	0.0904	0.3873
ENSTGUG00000013566	ENSTGUG00000013566.2	ENSTGUT00000014126	ENSTGUT00000014126.2		
ENSTGUG00000013566	ENSTGUG00000013566.2	ENSTGUT00000039513	ENSTGUT00000039513.1		
ENSTGUG00000013565	ENSTGUG00000013565.2	ENSTGUT00000033990	ENSTGUT00000033990.1	0.0812	0.4629
ENSTGUG00000013565	ENSTGUG00000013565.2	ENSTGUT00000045423	ENSTGUT00000045423.1	0.0812	0.4629
ENSTGUG00000013565	ENSTGUG00000013565.2	ENSTGUT00000014125	ENSTGUT00000014125.2	0.0812	0.4629
ENSTGUG00000017682	ENSTGUG00000017682.2	ENSTGUT00000018369	ENSTGUT00000018369.2		
ENSTGUG00000013564	ENSTGUG00000013564.2	ENSTGUT00000014124	ENSTGUT00000014124.2	0.0118	0.2401
ENSTGUG00000013564	ENSTGUG00000013564.2	ENSTGUT00000038137	ENSTGUT00000038137.1	0.0118	0.2401
ENSTGUG00000013563	ENSTGUG00000013563.2	ENSTGUT00000028891	ENSTGUT00000028891.1	0.0402	0.3724
ENSTGUG00000013563	ENSTGUG00000013563.2	ENSTGUT00000014123	ENSTGUT00000014123.2	0.0402	0.3724
ENSTGUG00000013563	ENSTGUG00000013563.2	ENSTGUT00000044782	ENSTGUT00000044782.1	0.0402	0.3724
ENSTGUG00000013562	ENSTGUG00000013562.2	ENSTGUT00000014122	ENSTGUT00000014122.2	0.0114	0.5068
ENSTGUG00000013561	ENSTGUG00000013561.2	ENSTGUT00000014121	ENSTGUT00000014121.2	0.1038	0.5792
ENSTGUG00000024357	ENSTGUG00000024357.1	ENSTGUT00000028486	ENSTGUT00000028486.1		
ENSTGUG00000029483	ENSTGUG00000029483.1	ENSTGUT00000043890	ENSTGUT00000043890.1	0.0464	0.5553
ENSTGUG00000029483	ENSTGUG00000029483.1	ENSTGUT00000026143	ENSTGUT00000026143.1	0.0464	0.5553
ENSTGUG00000013560	ENSTGUG00000013560.2	ENSTGUT00000014120	ENSTGUT00000014120.2	0.0674	0.5459
ENSTGUG00000013557	ENSTGUG00000013557.2	ENSTGUT00000044881	ENSTGUT00000044881.1	0.0079	0.3011
ENSTGUG00000013557	ENSTGUG00000013557.2	ENSTGUT00000039916	ENSTGUT00000039916.1	0.0079	0.3011
ENSTGUG00000013557	ENSTGUG00000013557.2	ENSTGUT00000037497	ENSTGUT00000037497.1	0.0079	0.3011
ENSTGUG00000013557	ENSTGUG00000013557.2	ENSTGUT00000014117	ENSTGUT00000014117.2	0.0079	0.3011
ENSTGUG00000013557	ENSTGUG00000013557.2	ENSTGUT00000033641	ENSTGUT00000033641.1	0.0079	0.3011
ENSTGUG00000013556	ENSTGUG00000013556.2	ENSTGUT00000014116	ENSTGUT00000014116.2	0.0205	0.4114
ENSTGUG00000013556	ENSTGUG00000013556.2	ENSTGUT00000044739	ENSTGUT00000044739.1	0.0205	0.4114
ENSTGUG00000013556	ENSTGUG00000013556.2	ENSTGUT00000023014	ENSTGUT00000023014.1	0.0205	0.4114
ENSTGUG00000013556	ENSTGUG00000013556.2	ENSTGUT00000038943	ENSTGUT00000038943.1	0.0205	0.4114
ENSTGUG00000028297	ENSTGUG00000028297.1	ENSTGUT00000017377	ENSTGUT00000017377.2	0.1035	0.6877
ENSTGUG00000028297	ENSTGUG00000028297.1	ENSTGUT00000020593	ENSTGUT00000020593.1	0.1035	0.6877
ENSTGUG00000021020	ENSTGUG00000021020.1	ENSTGUT00000026868	ENSTGUT00000026868.1	0.1429	0.4159
ENSTGUG00000021020	ENSTGUG00000021020.1	ENSTGUT00000025732	ENSTGUT00000025732.1	0.1429	0.4159
ENSTGUG00000021020	ENSTGUG00000021020.1	ENSTGUT00000044749	ENSTGUT00000044749.1	0.1429	0.4159
ENSTGUG00000013553	ENSTGUG00000013553.2	ENSTGUT00000014113	ENSTGUT00000014113.2	0.1404	0.4555
ENSTGUG00000018101	ENSTGUG00000018101.2	ENSTGUT00000018788	ENSTGUT00000018788.2		
ENSTGUG00000013552	ENSTGUG00000013552.2	ENSTGUT00000014112	ENSTGUT00000014112.2	0.0218	0.3174
ENSTGUG00000028197	ENSTGUG00000028197.1	ENSTGUT00000037506	ENSTGUT00000037506.1		
ENSTGUG00000013551	ENSTGUG00000013551.2	ENSTGUT00000014111	ENSTGUT00000014111.2	0.1849	0.5212
ENSTGUG00000013551	ENSTGUG00000013551.2	ENSTGUT00000015552	ENSTGUT00000015552.2	0.1849	0.5212
ENSTGUG00000013550	ENSTGUG00000013550.2	ENSTGUT00000014110	ENSTGUT00000014110.2	0.0408	0.3332
ENSTGUG00000013550	ENSTGUG00000013550.2	ENSTGUT00000016781	ENSTGUT00000016781.2	0.0408	0.3332
ENSTGUG00000013549	ENSTGUG00000013549.2	ENSTGUT00000014109	ENSTGUT00000014109.2	0.0582	0.4581
ENSTGUG00000013547	ENSTGUG00000013547.2	ENSTGUT00000014107	ENSTGUT00000014107.2	0.1268	0.371
ENSTGUG00000013547	ENSTGUG00000013547.2	ENSTGUT00000017855	ENSTGUT00000017855.2	0.1268	0.371
ENSTGUG00000013547	ENSTGUG00000013547.2	ENSTGUT00000036753	ENSTGUT00000036753.1	0.1268	0.371
ENSTGUG00000017563	ENSTGUG00000017563.2	ENSTGUT00000018250	ENSTGUT00000018250.2		
ENSTGUG00000018106	ENSTGUG00000018106.2	ENSTGUT00000018793	ENSTGUT00000018793.2		
ENSTGUG00000017678	ENSTGUG00000017678.2	ENSTGUT00000018365	ENSTGUT00000018365.2		
ENSTGUG00000024148	ENSTGUG00000024148.1	ENSTGUT00000039827	ENSTGUT00000039827.1		
ENSTGUG00000013545	ENSTGUG00000013545.2	ENSTGUT00000045428	ENSTGUT00000045428.1	0.0146	0.2562
ENSTGUG00000013545	ENSTGUG00000013545.2	ENSTGUT00000014105	ENSTGUT00000014105.2	0.0146	0.2562
ENSTGUG00000013545	ENSTGUG00000013545.2	ENSTGUT00000026709	ENSTGUT00000026709.1	0.0146	0.2562
ENSTGUG00000013545	ENSTGUG00000013545.2	ENSTGUT00000044456	ENSTGUT00000044456.1	0.0146	0.2562
ENSTGUG00000027814	ENSTGUG00000027814.1	ENSTGUT00000027665	ENSTGUT00000027665.1		
ENSTGUG00000013544	ENSTGUG00000013544.2	ENSTGUT00000041782	ENSTGUT00000041782.1	0.0423	0.319
ENSTGUG00000013544	ENSTGUG00000013544.2	ENSTGUT00000032072	ENSTGUT00000032072.1	0.0423	0.319
ENSTGUG00000013544	ENSTGUG00000013544.2	ENSTGUT00000030297	ENSTGUT00000030297.1	0.0423	0.319
ENSTGUG00000013544	ENSTGUG00000013544.2	ENSTGUT00000031290	ENSTGUT00000031290.1	0.0423	0.319
ENSTGUG00000013544	ENSTGUG00000013544.2	ENSTGUT00000021976	ENSTGUT00000021976.1	0.0423	0.319
ENSTGUG00000013544	ENSTGUG00000013544.2	ENSTGUT00000029777	ENSTGUT00000029777.1	0.0423	0.319
ENSTGUG00000013544	ENSTGUG00000013544.2	ENSTGUT00000027198	ENSTGUT00000027198.1	0.0423	0.319
ENSTGUG00000013544	ENSTGUG00000013544.2	ENSTGUT00000014104	ENSTGUT00000014104.2	0.0423	0.319
ENSTGUG00000013544	ENSTGUG00000013544.2	ENSTGUT00000032485	ENSTGUT00000032485.1	0.0423	0.319
ENSTGUG00000028412	ENSTGUG00000028412.1	ENSTGUT00000036811	ENSTGUT00000036811.1		
