Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	dN with Rat	dS with Rat
ENSMUSG00000059278	ENSMUSG00000059278.9	ENSMUST00000144531	ENSMUST00000144531.1	0.0037	0.1162
ENSMUSG00000059278	ENSMUSG00000059278.9	ENSMUST00000082283	ENSMUST00000082283.9	0.0037	0.1162
ENSMUSG00000059278	ENSMUSG00000059278.9	ENSMUST00000124932	ENSMUST00000124932.1	0.0037	0.1162
ENSMUSG00000114052	ENSMUSG00000114052.1	ENSMUST00000221210	ENSMUST00000221210.1		
ENSMUSG00000093963	ENSMUSG00000093963.1	ENSMUST00000178260	ENSMUST00000178260.1		
ENSMUSG00000082981	ENSMUSG00000082981.1	ENSMUST00000120170	ENSMUST00000120170.1		
ENSMUSG00000116319	ENSMUSG00000116319.1	ENSMUST00000229062	ENSMUST00000229062.1		
ENSMUSG00000081719	ENSMUSG00000081719.1	ENSMUST00000121278	ENSMUST00000121278.1		
ENSMUSG00000103821	ENSMUSG00000103821.1	ENSMUST00000192922	ENSMUST00000192922.1		
ENSMUSG00000116368	ENSMUSG00000116368.1	ENSMUST00000229418	ENSMUST00000229418.1		
ENSMUSG00000018381	ENSMUSG00000018381.15	ENSMUST00000059026	ENSMUST00000059026.9	0.0276	0.1561
ENSMUSG00000018381	ENSMUSG00000018381.15	ENSMUST00000131049	ENSMUST00000131049.1	0.0276	0.1561
ENSMUSG00000018381	ENSMUSG00000018381.15	ENSMUST00000137645	ENSMUST00000137645.1	0.0276	0.1561
ENSMUSG00000018381	ENSMUSG00000018381.15	ENSMUST00000143492	ENSMUST00000143492.1	0.0276	0.1561
ENSMUSG00000073964	ENSMUSG00000073964.3	ENSMUST00000209778	ENSMUST00000209778.2		
ENSMUSG00000073964	ENSMUSG00000073964.3	ENSMUST00000098215	ENSMUST00000098215.2		
ENSMUSG00000026697	ENSMUSG00000026697.10	ENSMUST00000028020	ENSMUST00000028020.10	0.034	0.2329
ENSMUSG00000047361	ENSMUSG00000047361.16	ENSMUST00000114243	ENSMUST00000114243.7	0.1004	0.1717
ENSMUSG00000047361	ENSMUSG00000047361.16	ENSMUST00000186434	ENSMUST00000186434.2	0.1004	0.1717
ENSMUSG00000047361	ENSMUSG00000047361.16	ENSMUST00000185291	ENSMUST00000185291.1	0.1004	0.1717
ENSMUSG00000047361	ENSMUSG00000047361.16	ENSMUST00000186310	ENSMUST00000186310.1	0.1004	0.1717
ENSMUSG00000047361	ENSMUSG00000047361.16	ENSMUST00000187979	ENSMUST00000187979.1	0.1004	0.1717
ENSMUSG00000047361	ENSMUSG00000047361.16	ENSMUST00000212835	ENSMUST00000212835.1	0.1004	0.1717
ENSMUSG00000047361	ENSMUSG00000047361.16	ENSMUST00000187454	ENSMUST00000187454.6	0.1004	0.1717
ENSMUSG00000047361	ENSMUSG00000047361.16	ENSMUST00000185753	ENSMUST00000185753.6	0.1004	0.1717
ENSMUSG00000047361	ENSMUSG00000047361.16	ENSMUST00000191051	ENSMUST00000191051.1	0.1004	0.1717
ENSMUSG00000047361	ENSMUSG00000047361.16	ENSMUST00000190490	ENSMUST00000190490.1	0.1004	0.1717
ENSMUSG00000067786	ENSMUSG00000067786.16	ENSMUST00000153739	ENSMUST00000153739.8		
ENSMUSG00000067786	ENSMUSG00000067786.16	ENSMUST00000173595	ENSMUST00000173595.1		
ENSMUSG00000067786	ENSMUSG00000067786.16	ENSMUST00000109526	ENSMUST00000109526.1		
ENSMUSG00000067786	ENSMUSG00000067786.16	ENSMUST00000173839	ENSMUST00000173839.1		
ENSMUSG00000067786	ENSMUSG00000067786.16	ENSMUST00000173041	ENSMUST00000173041.7		
ENSMUSG00000067786	ENSMUSG00000067786.16	ENSMUST00000173793	ENSMUST00000173793.7		
ENSMUSG00000067786	ENSMUSG00000067786.16	ENSMUST00000172487	ENSMUST00000172487.1		
ENSMUSG00000067786	ENSMUSG00000067786.16	ENSMUST00000088484	ENSMUST00000088484.5		
ENSMUSG00000067786	ENSMUSG00000067786.16	ENSMUST00000152605	ENSMUST00000152605.1		
ENSMUSG00000067786	ENSMUSG00000067786.16	ENSMUST00000134513	ENSMUST00000134513.1		
ENSMUSG00000082402	ENSMUSG00000082402.1	ENSMUST00000119162	ENSMUST00000119162.1		
ENSMUSG00000029401	ENSMUSG00000029401.8	ENSMUST00000031347	ENSMUST00000031347.7	0.0217	0.224
ENSMUSG00000029401	ENSMUSG00000029401.8	ENSMUST00000198413	ENSMUST00000198413.1	0.0217	0.224
ENSMUSG00000043310	ENSMUSG00000043310.4	ENSMUST00000214160	ENSMUST00000214160.1	0.0359	0.1694
ENSMUSG00000043310	ENSMUSG00000043310.4	ENSMUST00000215773	ENSMUST00000215773.1	0.0359	0.1694
ENSMUSG00000043310	ENSMUSG00000043310.4	ENSMUST00000061738	ENSMUST00000061738.3	0.0359	0.1694
ENSMUSG00000001755	ENSMUSG00000001755.12	ENSMUST00000001806	ENSMUST00000001806.9	0.0222	0.168
ENSMUSG00000001755	ENSMUSG00000001755.12	ENSMUST00000151056	ENSMUST00000151056.7	0.0222	0.168
ENSMUSG00000001755	ENSMUSG00000001755.12	ENSMUST00000151686	ENSMUST00000151686.1	0.0222	0.168
ENSMUSG00000001755	ENSMUSG00000001755.12	ENSMUST00000107308	ENSMUST00000107308.3	0.0222	0.168
ENSMUSG00000028687	ENSMUSG00000028687.17	ENSMUST00000102699	ENSMUST00000102699.7	0.0528	0.2043
ENSMUSG00000028687	ENSMUSG00000028687.17	ENSMUST00000130359	ENSMUST00000130359.7	0.0528	0.2043
ENSMUSG00000028687	ENSMUSG00000028687.17	ENSMUST00000124857	ENSMUST00000124857.7	0.0528	0.2043
ENSMUSG00000028687	ENSMUSG00000028687.17	ENSMUST00000140680	ENSMUST00000140680.7	0.0528	0.2043
ENSMUSG00000028687	ENSMUSG00000028687.17	ENSMUST00000155346	ENSMUST00000155346.7	0.0528	0.2043
ENSMUSG00000028687	ENSMUSG00000028687.17	ENSMUST00000138056	ENSMUST00000138056.1	0.0528	0.2043
ENSMUSG00000028687	ENSMUSG00000028687.17	ENSMUST00000135449	ENSMUST00000135449.1	0.0528	0.2043
ENSMUSG00000044795	ENSMUSG00000044795.12	ENSMUST00000134903	ENSMUST00000134903.1	0.0444	0.1822
ENSMUSG00000044795	ENSMUSG00000044795.12	ENSMUST00000108660	ENSMUST00000108660.7	0.0444	0.1822
ENSMUSG00000044795	ENSMUSG00000044795.12	ENSMUST00000051620	ENSMUST00000051620.4	0.0444	0.1822
ENSMUSG00000026209	ENSMUSG00000026209.15	ENSMUST00000185797	ENSMUST00000185797.6	0.0129	0.1675
ENSMUSG00000026209	ENSMUSG00000026209.15	ENSMUST00000185419	ENSMUST00000185419.6	0.0129	0.1675
ENSMUSG00000026209	ENSMUSG00000026209.15	ENSMUST00000113605	ENSMUST00000113605.9	0.0129	0.1675
ENSMUSG00000026209	ENSMUSG00000026209.15	ENSMUST00000187836	ENSMUST00000187836.6	0.0129	0.1675
ENSMUSG00000026209	ENSMUSG00000026209.15	ENSMUST00000186278	ENSMUST00000186278.1	0.0129	0.1675
ENSMUSG00000026209	ENSMUSG00000026209.15	ENSMUST00000187791	ENSMUST00000187791.1	0.0129	0.1675
ENSMUSG00000026209	ENSMUSG00000026209.15	ENSMUST00000189551	ENSMUST00000189551.6	0.0129	0.1675
ENSMUSG00000026209	ENSMUSG00000026209.15	ENSMUST00000187000	ENSMUST00000187000.6	0.0129	0.1675
ENSMUSG00000026209	ENSMUSG00000026209.15	ENSMUST00000187075	ENSMUST00000187075.6	0.0129	0.1675
ENSMUSG00000026209	ENSMUSG00000026209.15	ENSMUST00000191254	ENSMUST00000191254.6	0.0129	0.1675
ENSMUSG00000026209	ENSMUSG00000026209.15	ENSMUST00000190005	ENSMUST00000190005.1	0.0129	0.1675
ENSMUSG00000026209	ENSMUSG00000026209.15	ENSMUST00000188652	ENSMUST00000188652.6	0.0129	0.1675
ENSMUSG00000026209	ENSMUSG00000026209.15	ENSMUST00000189282	ENSMUST00000189282.2	0.0129	0.1675
ENSMUSG00000026209	ENSMUSG00000026209.15	ENSMUST00000066668	ENSMUST00000066668.13	0.0129	0.1675
ENSMUSG00000110918	ENSMUSG00000110918.1	ENSMUST00000215584	ENSMUST00000215584.1		
ENSMUSG00000111778	ENSMUSG00000111778.1	ENSMUST00000214464	ENSMUST00000214464.1		
ENSMUSG00000111778	ENSMUSG00000111778.1	ENSMUST00000214000	ENSMUST00000214000.1		
ENSMUSG00000111778	ENSMUSG00000111778.1	ENSMUST00000217645	ENSMUST00000217645.1		
ENSMUSG00000067750	ENSMUSG00000067750.3	ENSMUST00000088407	ENSMUST00000088407.3	0.2015	0.3285
ENSMUSG00000027225	ENSMUSG00000027225.7	ENSMUST00000028656	ENSMUST00000028656.1	0.0521	0.2199
ENSMUSG00000111396	ENSMUSG00000111396.1	ENSMUST00000213449	ENSMUST00000213449.1		
ENSMUSG00000034723	ENSMUSG00000034723.11	ENSMUST00000038228	ENSMUST00000038228.10	0.0467	0.1512
ENSMUSG00000034723	ENSMUSG00000034723.11	ENSMUST00000137377	ENSMUST00000137377.1	0.0467	0.1512
ENSMUSG00000034723	ENSMUSG00000034723.11	ENSMUST00000110120	ENSMUST00000110120.1	0.0467	0.1512
ENSMUSG00000034723	ENSMUSG00000034723.11	ENSMUST00000110119	ENSMUST00000110119.1	0.0467	0.1512
ENSMUSG00000039684	ENSMUSG00000039684.9	ENSMUST00000216161	ENSMUST00000216161.1		
ENSMUSG00000039684	ENSMUSG00000039684.9	ENSMUST00000050717	ENSMUST00000050717.9		
ENSMUSG00000111610	ENSMUSG00000111610.1	ENSMUST00000213816	ENSMUST00000213816.1		
